39.0 APEX_CODE,FINEST;APEX_PROFILING,FINEST;CALLOUT,FINEST;DB,FINEST;SYSTEM,FINE;VALIDATION,INFO;VISUALFORCE,FINER;WAVE,INFO;WORKFLOW,FINER
11:25:17.0 (7855404)|STATEMENT_EXECUTE|[54]
11:25:17.0 (7856358)|STATEMENT_EXECUTE|[55]
11:25:17.0 (7857297)|STATEMENT_EXECUTE|[56]
11:25:17.0 (7858318)|STATEMENT_EXECUTE|[58]
11:25:17.0 (7859288)|STATEMENT_EXECUTE|[59]
11:25:17.0 (7860496)|STATEMENT_EXECUTE|[60]
11:25:17.0 (7861572)|STATEMENT_EXECUTE|[62]
11:25:17.0 (7862648)|STATEMENT_EXECUTE|[63]
11:25:17.0 (7863592)|STATEMENT_EXECUTE|[64]
11:25:17.0 (7864538)|STATEMENT_EXECUTE|[66]
11:25:17.0 (7865648)|STATEMENT_EXECUTE|[67]
11:25:17.0 (7866609)|STATEMENT_EXECUTE|[68]
11:25:17.0 (7867897)|STATEMENT_EXECUTE|[70]
11:25:17.0 (7868777)|STATEMENT_EXECUTE|[71]
11:25:17.0 (7869826)|STATEMENT_EXECUTE|[72]
11:25:17.0 (7870822)|STATEMENT_EXECUTE|[73]
11:25:17.0 (7871954)|STATEMENT_EXECUTE|[74]
11:25:17.0 (7872918)|STATEMENT_EXECUTE|[76]
11:25:17.0 (7873919)|STATEMENT_EXECUTE|[77]
11:25:17.0 (7875100)|STATEMENT_EXECUTE|[78]
11:25:17.0 (7876049)|STATEMENT_EXECUTE|[82]
11:25:17.0 (7877026)|STATEMENT_EXECUTE|[83]
11:25:17.0 (7878105)|STATEMENT_EXECUTE|[298]
11:25:17.0 (7879286)|STATEMENT_EXECUTE|[495]
11:25:17.0 (7880187)|STATEMENT_EXECUTE|[496]
11:25:17.0 (7881172)|STATEMENT_EXECUTE|[497]
11:25:17.0 (7882081)|STATEMENT_EXECUTE|[498]
11:25:17.0 (7895592)|STATEMENT_EXECUTE|[86]
11:25:17.0 (7897132)|STATEMENT_EXECUTE|[87]
11:25:17.0 (7930650)|HEAP_ALLOCATE|[87]|Bytes:85
11:25:17.0 (7939433)|SYSTEM_METHOD_ENTRY|[1]|UserInfo.UserInfo()
11:25:17.0 (7941800)|STATEMENT_EXECUTE|[1]
11:25:17.0 (7946182)|SYSTEM_METHOD_EXIT|[1]|UserInfo
11:25:17.0 (7955905)|METHOD_ENTRY|[87]||System.UserInfo.getUserId()
11:25:17.0 (7990395)|METHOD_EXIT|[87]||System.UserInfo.getUserId()
11:25:17.0 (8002000)|HEAP_ALLOCATE|[87]|Bytes:4
11:25:17.0 (8020421)|SYSTEM_METHOD_ENTRY|[87]|CommunityHowToGuidesController.__sfdc_currentUserId(Id)
11:25:17.0 (8087825)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{}|0x5ef69c93
11:25:17.0 (8294031)|VARIABLE_ASSIGNMENT|[EXTERNAL]|value|"0059E000000SwHRQA0"
11:25:17.0 (8372560)|VARIABLE_ASSIGNMENT|[4]|this.currentUserId|"0059E000000SwHRQA0"|0x5ef69c93
11:25:17.0 (8382596)|SYSTEM_METHOD_EXIT|[87]|CommunityHowToGuidesController.__sfdc_currentUserId(Id)
11:25:17.0 (8386753)|STATEMENT_EXECUTE|[90]
11:25:17.0 (8392502)|HEAP_ALLOCATE|[90]|Bytes:4
11:25:17.0 (8421985)|SYSTEM_CONSTRUCTOR_ENTRY|[90]|<init>()
11:25:17.0 (8437422)|SYSTEM_CONSTRUCTOR_EXIT|[90]|<init>()
11:25:17.0 (8455359)|SYSTEM_METHOD_ENTRY|[90]|CommunityHowToGuidesController.__sfdc_toolBoxFeaturedArticlesList1(List<Tool_Box__kav>)
11:25:17.0 (8666665)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"currentUserId":"0059E000000SwHRQA0"}|0x5ef69c93
11:25:17.0 (8678819)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
11:25:17.0 (8689231)|VARIABLE_ASSIGNMENT|[EXTERNAL]|value|[]|0x41c9ef6d
11:25:17.0 (8706213)|VARIABLE_ASSIGNMENT|[37]|this.toolBoxFeaturedArticlesList1|[]|0x5ef69c93
11:25:17.0 (8714090)|SYSTEM_METHOD_EXIT|[90]|CommunityHowToGuidesController.__sfdc_toolBoxFeaturedArticlesList1(List<Tool_Box__kav>)
11:25:17.0 (8718405)|STATEMENT_EXECUTE|[91]
11:25:17.0 (8722707)|HEAP_ALLOCATE|[91]|Bytes:4
11:25:17.0 (8728427)|SYSTEM_CONSTRUCTOR_ENTRY|[91]|<init>()
11:25:17.0 (8739391)|SYSTEM_CONSTRUCTOR_EXIT|[91]|<init>()
11:25:17.0 (8754360)|SYSTEM_METHOD_ENTRY|[91]|CommunityHowToGuidesController.__sfdc_toolBoxFeaturedArticlesList2(List<Tool_Box__kav>)
11:25:17.0 (8940179)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"currentUserId":"0059E000000SwHRQA0","toolBoxFeaturedArticlesList1":"0x41c9ef6d"}|0x5ef69c93
11:25:17.0 (8947169)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
11:25:17.0 (8951695)|VARIABLE_ASSIGNMENT|[EXTERNAL]|value|[]|0x6c85314f
11:25:17.0 (8961244)|VARIABLE_ASSIGNMENT|[38]|this.toolBoxFeaturedArticlesList2|[]|0x5ef69c93
11:25:17.0 (8966762)|SYSTEM_METHOD_EXIT|[91]|CommunityHowToGuidesController.__sfdc_toolBoxFeaturedArticlesList2(List<Tool_Box__kav>)
11:25:17.0 (8970227)|STATEMENT_EXECUTE|[93]
11:25:17.0 (8973743)|HEAP_ALLOCATE|[93]|Bytes:98
11:25:17.0 (8984722)|HEAP_ALLOCATE|[93]|Bytes:4
11:25:17.0 (8992479)|HEAP_ALLOCATE|[93]|Bytes:7
11:25:17.0 (8999583)|SYSTEM_METHOD_ENTRY|[93]|CommunityHowToGuidesController.__sfdc_currentUserId()
11:25:17.0 (9269208)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"currentUserId":"0059E000000SwHRQA0","toolBoxFeaturedArticlesList1":"0x41c9ef6d","toolBoxFeaturedArticlesList2":"0x6c85314f"}|0x5ef69c93
11:25:17.0 (9283011)|SYSTEM_METHOD_EXIT|[93]|CommunityHowToGuidesController.__sfdc_currentUserId()
11:25:17.0 (9684219)|SOQL_EXECUTE_BEGIN|[93]|Aggregations:0|SELECT id, name, firstname, lastname, contactid, fullphotourl, phone FROM user WHERE id = :tmpVar1
11:25:17.0 (9696860)|LIMIT_USAGE|[93]|SOQL|1|100
11:25:17.0 (9707105)|LIMIT_USAGE|[93]|AGGS|0|300
11:25:17.0 (28068019)|SOQL_EXECUTE_END|[93]|Rows:1
11:25:17.0 (28083596)|LIMIT_USAGE|[93]|SOQL_ROWS|1|50000
11:25:17.0 (28104691)|HEAP_ALLOCATE|[93]|Bytes:8
11:25:17.0 (28130186)|HEAP_ALLOCATE|[93]|Bytes:194
11:25:17.0 (28223809)|HEAP_ALLOCATE|[93]|Bytes:8
11:25:17.0 (28242733)|HEAP_ALLOCATE|[93]|Bytes:30
11:25:17.0 (28330597)|HEAP_ALLOCATE|[93]|Bytes:32
11:25:17.0 (28381665)|SYSTEM_METHOD_ENTRY|[93]|CommunityHowToGuidesController.__sfdc_currentUser(User)
11:25:17.0 (28777091)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"currentUserId":"0059E000000SwHRQA0","toolBoxFeaturedArticlesList1":"0x41c9ef6d","toolBoxFeaturedArticlesList2":"0x6c85314f"}|0x5ef69c93
11:25:17.0 (28799800)|VARIABLE_ASSIGNMENT|[EXTERNAL]|value|{"Id":"0059E000000SwHRQA0","Name":"services test","FirstName":"services","LastName":"test","ContactId":"0039E0000037h4mQAA","FullPhotoUrl":"/profilephoto/7299E0 (11 more) ...","CommunityNickname":"services"}|0x5b82ea11
11:25:17.0 (28818747)|VARIABLE_ASSIGNMENT|[5]|this.currentUser|{"Id":"0059E000000SwHRQA0","Name":"services test","FirstName":"services","LastName":"test","ContactId":"0039E0000037h4mQAA","FullPhotoUrl":"/profilephoto/7299E0 (11 more) ...","CommunityNickname":"services"}|0x5ef69c93
11:25:17.0 (28828025)|SYSTEM_METHOD_EXIT|[93]|CommunityHowToGuidesController.__sfdc_currentUser(User)
11:25:17.0 (28833739)|STATEMENT_EXECUTE|[94]
11:25:17.0 (28850526)|HEAP_ALLOCATE|[94]|Bytes:4
11:25:17.0 (28961303)|SYSTEM_METHOD_ENTRY|[94]|CommunityHowToGuidesController.__sfdc_con(Contact)
11:25:17.0 (29258310)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"currentUser":"0x5b82ea11","currentUserId":"0059E000000SwHRQA0","toolBoxFeaturedArticlesList1":"0x41c9ef6d","toolBoxFeaturedArticlesList2":"0x6c85314f"}|0x5ef69c93
11:25:17.0 (29277934)|VARIABLE_ASSIGNMENT|[EXTERNAL]|value|{}|0xa1e262d
11:25:17.0 (29299600)|VARIABLE_ASSIGNMENT|[6]|this.con|{}|0x5ef69c93
11:25:17.0 (29309368)|SYSTEM_METHOD_EXIT|[94]|CommunityHowToGuidesController.__sfdc_con(Contact)
11:25:17.0 (29316146)|STATEMENT_EXECUTE|[95]
11:25:17.0 (29332955)|HEAP_ALLOCATE|[95]|Bytes:4
11:25:17.0 (29430608)|SYSTEM_METHOD_ENTRY|[95]|CommunityHowToGuidesController.__sfdc_acc(Account)
11:25:17.0 (29740297)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"con":"0xa1e262d","currentUser":"0x5b82ea11","currentUserId":"0059E000000SwHRQA0","toolBoxFeaturedArticlesList1":"0x41c9ef6d","toolBoxFeaturedArticlesList2":"0x6c85314f"}|0x5ef69c93
11:25:17.0 (29752909)|VARIABLE_ASSIGNMENT|[EXTERNAL]|value|{}|0x242812dc
11:25:17.0 (29762015)|VARIABLE_ASSIGNMENT|[7]|this.acc|{}|0x5ef69c93
11:25:17.0 (29769077)|SYSTEM_METHOD_EXIT|[95]|CommunityHowToGuidesController.__sfdc_acc(Account)
11:25:17.0 (29773197)|STATEMENT_EXECUTE|[96]
11:25:17.0 (29793762)|SYSTEM_METHOD_ENTRY|[96]|CommunityHowToGuidesController.__sfdc_showingSearchResults(Boolean)
11:25:17.0 (30024799)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"acc":"0x242812dc","con":"0xa1e262d","currentUser":"0x5b82ea11","currentUserId":"0059E000000SwHRQA0","toolBoxFeaturedArticlesList1":"0x41c9ef6d","toolBoxFeaturedArticlesList2":"0x6c85314f"}|0x5ef69c93
11:25:17.0 (30039226)|VARIABLE_ASSIGNMENT|[EXTERNAL]|value|false
11:25:17.0 (30045273)|HEAP_ALLOCATE|[83]|Bytes:5
11:25:17.0 (30056607)|VARIABLE_ASSIGNMENT|[83]|this.showingSearchResults|false|0x5ef69c93
11:25:17.0 (30062841)|SYSTEM_METHOD_EXIT|[96]|CommunityHowToGuidesController.__sfdc_showingSearchResults(Boolean)
11:25:17.0 (30072867)|SYSTEM_METHOD_ENTRY|[98]|CommunityHowToGuidesController.__sfdc_currentUser()
11:25:17.0 (30287551)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"acc":"0x242812dc","con":"0xa1e262d","currentUser":"0x5b82ea11","currentUserId":"0059E000000SwHRQA0","showingSearchResults":false,"toolBoxFeaturedArticlesList1":"0x41c9ef6d","toolBoxFeaturedArticlesList2":"0x6c85314f"}|0x5ef69c93
11:25:17.0 (30299773)|SYSTEM_METHOD_EXIT|[98]|CommunityHowToGuidesController.__sfdc_currentUser()
11:25:17.0 (30336498)|STATEMENT_EXECUTE|[99]
11:25:17.0 (30338322)|STATEMENT_EXECUTE|[100]
11:25:17.0 (30341325)|HEAP_ALLOCATE|[100]|Bytes:105
11:25:17.0 (30348794)|HEAP_ALLOCATE|[100]|Bytes:4
11:25:17.0 (30359701)|SYSTEM_METHOD_ENTRY|[100]|CommunityHowToGuidesController.__sfdc_currentUser()
11:25:17.0 (30594712)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"acc":"0x242812dc","con":"0xa1e262d","currentUser":"0x5b82ea11","currentUserId":"0059E000000SwHRQA0","showingSearchResults":false,"toolBoxFeaturedArticlesList1":"0x41c9ef6d","toolBoxFeaturedArticlesList2":"0x6c85314f"}|0x5ef69c93
11:25:17.0 (30608952)|SYSTEM_METHOD_EXIT|[100]|CommunityHowToGuidesController.__sfdc_currentUser()
11:25:17.0 (30963338)|SOQL_EXECUTE_BEGIN|[100]|Aggregations:0|SELECT id, name, firstname, lastname, CharityRegNum__c, phone, AccountId FROM Contact WHERE id = :tmpVar1
11:25:17.0 (30973317)|LIMIT_USAGE|[100]|SOQL|2|100
11:25:17.0 (30982716)|LIMIT_USAGE|[100]|AGGS|0|300
11:25:17.0 (44497877)|SOQL_EXECUTE_END|[100]|Rows:1
11:25:17.0 (44506982)|LIMIT_USAGE|[100]|SOQL_ROWS|2|50000
11:25:17.0 (44519215)|HEAP_ALLOCATE|[100]|Bytes:8
11:25:17.0 (44538332)|HEAP_ALLOCATE|[100]|Bytes:162
11:25:17.0 (44598526)|HEAP_ALLOCATE|[100]|Bytes:8
11:25:17.0 (44609075)|HEAP_ALLOCATE|[100]|Bytes:33
11:25:17.0 (44665251)|HEAP_ALLOCATE|[100]|Bytes:32
11:25:17.0 (44678297)|SYSTEM_METHOD_ENTRY|[100]|CommunityHowToGuidesController.__sfdc_con(Contact)
11:25:17.0 (44953657)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"acc":"0x242812dc","con":"0xa1e262d","currentUser":"0x5b82ea11","currentUserId":"0059E000000SwHRQA0","showingSearchResults":false,"toolBoxFeaturedArticlesList1":"0x41c9ef6d","toolBoxFeaturedArticlesList2":"0x6c85314f"}|0x5ef69c93
11:25:17.0 (44976102)|VARIABLE_ASSIGNMENT|[EXTERNAL]|value|{"Id":"0039E0000037h4mQAA","Name":"services test","FirstName":"services","LastName":"test","CharityRegNum__c":"testing","Phone":"07777776","AccountId":"0019E000004I1yDQAS"}|0x67eca6c3
11:25:17.0 (44996247)|VARIABLE_ASSIGNMENT|[6]|this.con|{"Id":"0039E0000037h4mQAA","Name":"services test","FirstName":"services","LastName":"test","CharityRegNum__c":"testing","Phone":"07777776","AccountId":"0019E000004I1yDQAS"}|0x5ef69c93
11:25:17.0 (45007211)|SYSTEM_METHOD_EXIT|[100]|CommunityHowToGuidesController.__sfdc_con(Contact)
11:25:17.0 (45013319)|STATEMENT_EXECUTE|[101]
11:25:17.0 (45017614)|HEAP_ALLOCATE|[101]|Bytes:48
11:25:17.0 (45025553)|HEAP_ALLOCATE|[101]|Bytes:4
11:25:17.0 (45040924)|SYSTEM_METHOD_ENTRY|[101]|CommunityHowToGuidesController.__sfdc_con()
11:25:17.0 (45260798)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"acc":"0x242812dc","con":"0x67eca6c3","currentUser":"0x5b82ea11","currentUserId":"0059E000000SwHRQA0","showingSearchResults":false,"toolBoxFeaturedArticlesList1":"0x41c9ef6d","toolBoxFeaturedArticlesList2":"0x6c85314f"}|0x5ef69c93
11:25:17.0 (45273868)|SYSTEM_METHOD_EXIT|[101]|CommunityHowToGuidesController.__sfdc_con()
11:25:17.0 (45523129)|SOQL_EXECUTE_BEGIN|[101]|Aggregations:0|SELECT id, name FROM account WHERE id = :tmpVar1
11:25:17.0 (45529908)|LIMIT_USAGE|[101]|SOQL|3|100
11:25:17.0 (45536290)|LIMIT_USAGE|[101]|AGGS|0|300
11:25:17.0 (54180942)|SOQL_EXECUTE_END|[101]|Rows:1
11:25:17.0 (54190214)|LIMIT_USAGE|[101]|SOQL_ROWS|3|50000
11:25:17.0 (54202100)|HEAP_ALLOCATE|[101]|Bytes:8
11:25:17.0 (54217897)|HEAP_ALLOCATE|[101]|Bytes:74
11:25:17.0 (54271533)|HEAP_ALLOCATE|[101]|Bytes:8
11:25:17.0 (54283667)|HEAP_ALLOCATE|[101]|Bytes:33
11:25:17.0 (54337739)|HEAP_ALLOCATE|[101]|Bytes:16
11:25:17.0 (54351134)|SYSTEM_METHOD_ENTRY|[101]|CommunityHowToGuidesController.__sfdc_acc(Account)
11:25:17.0 (54619862)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"acc":"0x242812dc","con":"0x67eca6c3","currentUser":"0x5b82ea11","currentUserId":"0059E000000SwHRQA0","showingSearchResults":false,"toolBoxFeaturedArticlesList1":"0x41c9ef6d","toolBoxFeaturedArticlesList2":"0x6c85314f"}|0x5ef69c93
11:25:17.0 (54633320)|VARIABLE_ASSIGNMENT|[EXTERNAL]|value|{"Id":"0019E000004I1yDQAS","Name":"M H","RecordTypeId":"01224000000gEQBAA2"}|0x5d998241
11:25:17.0 (54648349)|VARIABLE_ASSIGNMENT|[7]|this.acc|{"Id":"0019E000004I1yDQAS","Name":"M H","RecordTypeId":"01224000000gEQBAA2"}|0x5ef69c93
11:25:17.0 (54659133)|SYSTEM_METHOD_EXIT|[101]|CommunityHowToGuidesController.__sfdc_acc(Account)
11:25:17.0 (54666106)|STATEMENT_EXECUTE|[103]
11:25:17.0 (54671490)|HEAP_ALLOCATE|[103]|Bytes:18
11:25:17.0 (54684848)|SYSTEM_METHOD_ENTRY|[103]|CommunityHowToGuidesController.__sfdc_con()
11:25:17.0 (54898610)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"acc":"0x5d998241","con":"0x67eca6c3","currentUser":"0x5b82ea11","currentUserId":"0059E000000SwHRQA0","showingSearchResults":false,"toolBoxFeaturedArticlesList1":"0x41c9ef6d","toolBoxFeaturedArticlesList2":"0x6c85314f"}|0x5ef69c93
11:25:17.0 (54908543)|SYSTEM_METHOD_EXIT|[103]|CommunityHowToGuidesController.__sfdc_con()
11:25:17.0 (54946954)|SYSTEM_METHOD_ENTRY|[103]|String.valueOf(Object)
11:25:17.0 (55006058)|HEAP_ALLOCATE|[103]|Bytes:158
11:25:17.0 (55020101)|SYSTEM_METHOD_EXIT|[103]|String.valueOf(Object)
11:25:17.0 (55030313)|HEAP_ALLOCATE|[103]|Bytes:176
11:25:17.0 (55050488)|SYSTEM_METHOD_ENTRY|[103]|System.debug(ANY)
11:25:17.0 (55058475)|USER_DEBUG|[103]|DEBUG|Contact details : Contact:{Id=0039E0000037h4mQAA, Name=services test, FirstName=services, LastName=test, CharityRegNum__c=testing, Phone=07777776, AccountId=0019E000004I1yDQAS}
11:25:17.0 (55062989)|SYSTEM_METHOD_EXIT|[103]|System.debug(ANY)
11:25:17.0 (55066266)|STATEMENT_EXECUTE|[105]
11:25:17.0 (55087091)|SYSTEM_METHOD_ENTRY|[105]|CommunityHowToGuidesController.__sfdc_viewAbout(Boolean)
11:25:17.0 (55308469)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"acc":"0x5d998241","con":"0x67eca6c3","currentUser":"0x5b82ea11","currentUserId":"0059E000000SwHRQA0","showingSearchResults":false,"toolBoxFeaturedArticlesList1":"0x41c9ef6d","toolBoxFeaturedArticlesList2":"0x6c85314f"}|0x5ef69c93
11:25:17.0 (55321037)|VARIABLE_ASSIGNMENT|[EXTERNAL]|value|false
11:25:17.0 (55326957)|HEAP_ALLOCATE|[27]|Bytes:5
11:25:17.0 (55339439)|VARIABLE_ASSIGNMENT|[27]|this.viewAbout|false|0x5ef69c93
11:25:17.0 (55345592)|SYSTEM_METHOD_EXIT|[105]|CommunityHowToGuidesController.__sfdc_viewAbout(Boolean)
11:25:17.0 (55349550)|STATEMENT_EXECUTE|[106]
11:25:17.0 (55366747)|SYSTEM_METHOD_ENTRY|[106]|CommunityHowToGuidesController.__sfdc_viewSettings(Boolean)
11:25:17.0 (55569706)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"acc":"0x5d998241","con":"0x67eca6c3","currentUser":"0x5b82ea11","currentUserId":"0059E000000SwHRQA0","showingSearchResults":false,"toolBoxFeaturedArticlesList1":"0x41c9ef6d","toolBoxFeaturedArticlesList2":"0x6c85314f","viewAbout":false}|0x5ef69c93
11:25:17.0 (55578523)|VARIABLE_ASSIGNMENT|[EXTERNAL]|value|false
11:25:17.0 (55583292)|HEAP_ALLOCATE|[26]|Bytes:5
11:25:17.0 (55591523)|VARIABLE_ASSIGNMENT|[26]|this.viewSettings|false|0x5ef69c93
11:25:17.0 (55597398)|SYSTEM_METHOD_EXIT|[106]|CommunityHowToGuidesController.__sfdc_viewSettings(Boolean)
11:25:17.0 (55601030)|STATEMENT_EXECUTE|[107]
11:25:17.0 (55614149)|SYSTEM_METHOD_ENTRY|[107]|CommunityHowToGuidesController.__sfdc_viewGettingStarted(Boolean)
11:25:17.0 (55812210)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"acc":"0x5d998241","con":"0x67eca6c3","currentUser":"0x5b82ea11","currentUserId":"0059E000000SwHRQA0","showingSearchResults":false,"toolBoxFeaturedArticlesList1":"0x41c9ef6d","toolBoxFeaturedArticlesList2":"0x6c85314f","viewAbout":false,"viewSettings":false}|0x5ef69c93
11:25:17.0 (55820808)|VARIABLE_ASSIGNMENT|[EXTERNAL]|value|true
11:25:17.0 (55825547)|HEAP_ALLOCATE|[23]|Bytes:5
11:25:17.0 (55833443)|VARIABLE_ASSIGNMENT|[23]|this.viewGettingStarted|true|0x5ef69c93
11:25:17.0 (55838640)|SYSTEM_METHOD_EXIT|[107]|CommunityHowToGuidesController.__sfdc_viewGettingStarted(Boolean)
11:25:17.0 (55841902)|STATEMENT_EXECUTE|[108]
